sku,store_view_code,attribute_set_code,product_type,categories,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,created_at,updated_at,new_from_date,new_to_date,map_price,msrp_price,map_enabled,qty,out_of_stock_qty,website_id,product_websites,manage_stock,use_config_manage_stock
1001,,Default,simple,Default Category/Pricing & Tagging/Avery Price Guns (Labelers)/1-Line Guns,Inker PB Replacement,"<font size=2 face=""Verdana, Helvetica"">PB 1 Inkers for Avery Dennison PB 1 line Labelers</font>",PB Inkers,0.115,1,Taxable Goods,"Catalog, Search",5.23,,,,inker-pb-replacement-1001,,,,/1001_Inker_400x400.jpg,Inker PB Replacement base image,/1001_Inker_400x400.jpg,Inker PB Replacement small image,/1001_Inker_400x400.jpg,Inker PB Replacement thumbnail,,,,,,,,1,0,1,base,0,0
1005,,Default,simple,Default Category/Pricing & Tagging/Avery Price Guns (Labelers)/1-Line Guns,Labeler PB 5 Band,"<p align=left><font size=2 face=Verdana>Avery PB 1 Line Labelers&nbsp;are one line labelers with options for&nbsp;5 band or 6 band positions. </font><span style=""FONT-SIZE: 10pt; FONT-FAMILY: 'Arial','sans-serif'; COLOR: black""><font face=Verdana>We’ve been selling price gun labelers for over 40 years and we’ve sold more of these Avery Dennison PB1 labelers than any other. Why?&nbsp; It’s the easiest to use and most trouble free labeler on the market.<br></font></span><a href=""https://rs6.eporia.com/company_8/Avery%20Dennison%20105-106%20Hand%20Labeler.pdf""><font size=2 face=Verdana>Loading Instructions<br></font></p></a>",PB 1 Line Labelers,0.92,1,Taxable Goods,"Catalog, Search",67.44,,,,labeler-pb-5-band-1005,,,,,Labeler PB 5 Band base image,,Labeler PB 5 Band small image,,Labeler PB 5 Band thumbnail,,,,,,,,1,0,1,base,0,0
1006,,Default,simple,Default Category/Pricing & Tagging/Avery Price Guns (Labelers)/1-Line Guns,Labeler PB 6 Band,"<p align=left><font size=2 face=Verdana>Avery PB 1 Line Labelers&nbsp;are one line labelers with options for&nbsp;5 band or 6 band positions. </font><span style=""FONT-SIZE: 10pt; FONT-FAMILY: 'Arial','sans-serif'; COLOR: black""><font face=Verdana>We’ve been selling price gun labelers for over 40 years and we’ve sold more of these Avery Dennison PB1 labelers than any other. Why?&nbsp; It’s the easiest to use and most trouble free labeler on the market.<br></font></span><a href=""https://rs6.eporia.com/company_8/Avery%20Dennison%20105-106%20Hand%20Labeler.pdf""><font size=2 face=Verdana>Loading Instructions<br></font></p></a>",PB 1 Line Labelers,0.92,1,Taxable Goods,"Catalog, Search",67.44,,,,labeler-pb-6-band-1006,,,,,Labeler PB 6 Band base image,,Labeler PB 6 Band small image,,Labeler PB 6 Band thumbnail,,,,,,,,1,0,1,base,0,0
1010,,Default,simple,Default Category/Pricing & Tagging/Avery Price Guns (Labelers)/1-Line Guns,Labels PB White,"<span style=""COLOR: blue""><font color=#000000 size=2 face=Verdana>PB 1 Labels for your 1 line PB labeler fit both your 5 band or 6 band models. They come in your choice of white or colored labels.&nbsp;<font size=2>Choose whether you want a plain unprinted label, or one of the printed options below.</font> Freezer and removable adhesive labels are available below. Call us <font color=#000000>at 1-800-426-5708 if you</font> would like to have your name printed on your labels.<br></font></span><span style=""COLOR: blue""><font color=#000000 size=2 face=Verdana>Order labels by the box.<br>Each box has 18 rolls (1,000 labels per roll) = 18,000 labels per box</font></span>",PB 1 Labels,1.449,1,Taxable Goods,"Catalog, Search",55.8,,,,labels-pb-white-1010,,,,,Labels PB White base image,,Labels PB White small image,,Labels PB White thumbnail,,,,,,,,1,0,1,base,0,0
1018,,Default,simple,Default Category/Pricing & Tagging/Avery Price Guns (Labelers)/1-Line Guns,Labels PB White Rem.,"<span style=""COLOR: blue""><font color=#000000 size=2 face=Verdana>PB 1 Labels for your 1 line PB labeler fit both your 5 band or 6 band models. They come in your choice of white or colored labels.&nbsp;<font size=2>Choose whether you want a plain unprinted label, or one of the printed options below.</font> Freezer and removable adhesive labels are available below. Call us <font color=#000000>at 1-800-426-5708 if you</font> would like to have your name printed on your labels.<br></font></span><span style=""COLOR: blue""><font color=#000000 size=2 face=Verdana>Order labels by the box.<br>Each box has 18 rolls (1,000 labels per roll) = 18,000 labels per box</font></span>",PB 1 Labels,1.449,1,Taxable Goods,"Catalog, Search",55.8,,,,labels-pb-white-rem.-1018,,,,,Labels PB White Rem. base image,,Labels PB White Rem. small image,,Labels PB White Rem. thumbnail,,,,,,,,1,0,1,base,0,0
1020,,Default,simple,Default Category/Pricing & Tagging/Avery Price Guns (Labelers)/1-Line Guns,Labels PB Red,"<span style=""COLOR: blue""><font color=#000000 size=2 face=Verdana>PB 1 Labels for your 1 line PB labeler fit both your 5 band or 6 band models. They come in your choice of white or colored labels.&nbsp;<font size=2>Choose whether you want a plain unprinted label, or one of the printed options below.</font> Freezer and removable adhesive labels are available below. Call us <font color=#000000>at 1-800-426-5708 if you</font> would like to have your name printed on your labels.<br></font></span><span style=""COLOR: blue""><font color=#000000 size=2 face=Verdana>Order labels by the box.<br>Each box has 18 rolls (1,000 labels per roll) = 18,000 labels per box</font></span>",PB 1 Labels,1.449,1,Taxable Goods,"Catalog, Search",59.22,,,,labels-pb-red-1020,,,,,Labels PB Red base image,,Labels PB Red small image,,Labels PB Red thumbnail,,,,,,,,1,0,1,base,0,0
1024,,Default,simple,Default Category/Pricing & Tagging/Avery Price Guns (Labelers)/1-Line Guns,Labels PB1 Red Sale,"<span style=""COLOR: blue""><font color=#000000 size=2 face=Verdana>PB 1 Labels for your 1 line PB labeler fit both your 5 band or 6 band models. They come in your choice of white or colored labels.&nbsp;<font size=2>Choose whether you want a plain unprinted label, or one of the printed options below.</font> Freezer and removable adhesive labels are available below. Call us <font color=#000000>at 1-800-426-5708 if you</font> would like to have your name printed on your labels.<br></font></span><span style=""COLOR: blue""><font color=#000000 size=2 face=Verdana>Order labels by the box.<br>Each box has 18 rolls (1,000 labels per roll) = 18,000 labels per box</font></span>",PB 1 Labels,1.449,1,Taxable Goods,"Catalog, Search",59.22,,,,labels-pb1-red-sale-1024,,,,,Labels PB1 Red Sale base image,,Labels PB1 Red Sale small image,,Labels PB1 Red Sale thumbnail,,,,,,,,1,0,1,base,0,0
1030,,Default,simple,Default Category/Pricing & Tagging/Avery Price Guns (Labelers)/1-Line Guns,Labels PB Yellow,"<span style=""COLOR: blue""><font color=#000000 size=2 face=Verdana>PB 1 Labels for your 1 line PB labeler fit both your 5 band or 6 band models. They come in your choice of white or colored labels.&nbsp;<font size=2>Choose whether you want a plain unprinted label, or one of the printed options below.</font> Freezer and removable adhesive labels are available below. Call us <font color=#000000>at 1-800-426-5708 if you</font> would like to have your name printed on your labels.<br></font></span><span style=""COLOR: blue""><font color=#000000 size=2 face=Verdana>Order labels by the box.<br>Each box has 18 rolls (1,000 labels per roll) = 18,000 labels per box</font></span>",PB 1 Labels,1.449,1,Taxable Goods,"Catalog, Search",59.22,,,,labels-pb-yellow-1030,,,,,Labels PB Yellow base image,,Labels PB Yellow small image,,Labels PB Yellow thumbnail,,,,,,,,1,0,1,base,0,0
1034,,Default,simple,Default Category/Pricing & Tagging/Avery Price Guns (Labelers)/1-Line Guns,Labels PB Yell/Red Sale,"<span style=""COLOR: blue""><font color=#000000 size=2 face=Verdana>PB 1 Labels for your 1 line PB labeler fit both your 5 band or 6 band models. They come in your choice of white or colored labels.&nbsp;<font size=2>Choose whether you want a plain unprinted label, or one of the printed options below.</font> Freezer and removable adhesive labels are available below. Call us <font color=#000000>at 1-800-426-5708 if you</font> would like to have your name printed on your labels.<br></font></span><span style=""COLOR: blue""><font color=#000000 size=2 face=Verdana>Order labels by the box.<br>Each box has 18 rolls (1,000 labels per roll) = 18,000 labels per box</font></span>",PB 1 Labels,1.449,1,Taxable Goods,"Catalog, Search",59.22,,,,labels-pb-yellred-sale-1034,,,,,Labels PB Yell/Red Sale base image,,Labels PB Yell/Red Sale small image,,Labels PB Yell/Red Sale thumbnail,,,,,,,,1,0,1,base,0,0
1040,,Default,simple,Default Category/Pricing & Tagging/Avery Price Guns (Labelers)/1-Line Guns,Labels PB-1 Orange,"<span style=""COLOR: blue""><font color=#000000 size=2 face=Verdana>PB 1 Labels for your 1 line PB labeler fit both your 5 band or 6 band models. They come in your choice of white or colored labels.&nbsp;<font size=2>Choose whether you want a plain unprinted label, or one of the printed options below.</font> Freezer and removable adhesive labels are available below. Call us <font color=#000000>at 1-800-426-5708 if you</font> would like to have your name printed on your labels.<br></font></span><span style=""COLOR: blue""><font color=#000000 size=2 face=Verdana>Order labels by the box.<br>Each box has 18 rolls (1,000 labels per roll) = 18,000 labels per box</font></span>",PB 1 Labels,1.449,1,Taxable Goods,"Catalog, Search",59.22,,,,labels-pb-1-orange-1040,,,,,Labels PB-1 Orange base image,,Labels PB-1 Orange small image,,Labels PB-1 Orange thumbnail,,,,,,,,1,0,1,base,0,0
