sku,store_view_code,attribute_set_code,product_type,categories,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,created_at,updated_at,new_from_date,new_to_date,map_price,msrp_price,map_enabled,qty,out_of_stock_qty,website_id,product_websites,manage_stock,use_config_manage_stock,errors
54PP15W,,Default,simple,"Default Category/Boxes & Packaging/Corrugated Boxes/Specialty Corrugated Packaging/Black Satin Kraft Collection/Boxes & Packaging","Pillow Pack 15x7x1.5 White","<div><font color=#000000 size=2 face=""Verdana, Helvetica"">Available in White and Natural Kraft with easy to open ends for a unique packaging ideas.<br></font><font color=#000000 size=2 face=""Verdana, Helvetica"">Priced per case.&nbsp;<span style=""FONT-FAMILY: 'Verdana','sans-serif'""><font size=2>Each case quantity&nbsp;is noted.</font></span></font></div>","Pillow Packs",8.05,1,"Taxable Goods","Catalog, Search",129,,,,pillow-pack-15x7x1.5-white-54PP15W,"Pillow Pack Gift Boxes, Pillow Paks for Retail Stores","pillow packs gift boxes pillow pak gift box","Pillow Pack gift boxes are available in White and Kraft and sold by the case, order Pillow Paks and more retail store gift boxes and packaging supplies online.",/54PP15W_base.jpg,"Pillow Pack 15x7x1.5 White base image",/54PP15W_base.jpg,"Pillow Pack 15x7x1.5 White small image",/54PP15W_base.jpg,"Pillow Pack 15x7x1.5 White thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
54PP1C,,Default,simple,"Default Category/No web item","Pillow Pack Frosted","<div><font color=#000000 size=2 face=""Verdana, Helvetica"">Available in White and Natural Kraft with easy to open ends for a unique packaging ideas.<br></font><font color=#000000 size=2 face=""Verdana, Helvetica"">Priced per case.&nbsp;<span style=""FONT-FAMILY: 'Verdana','sans-serif'""><font size=2>Each case quantity&nbsp;is noted.</font></span></font></div>","Pillow Packs",1.15,0,"Taxable Goods","Catalog, Search",6.76,,,,pillow-pack-frosted-54PP1C,"Pillow Pack Gift Boxes, Pillow Paks for Retail Stores","pillow packs gift boxes pillow pak gift box","Pillow Pack gift boxes are available in White and Kraft and sold by the case, order Pillow Paks and more retail store gift boxes and packaging supplies online.",/54PP1C_base.jpg,"Pillow Pack Frosted base image",/54PP1C_base.jpg,"Pillow Pack Frosted small image",/54PP1C_base.jpg,"Pillow Pack Frosted thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
54PP2C,,Default,simple,"Default Category/No web item","Pillow Pack Frosted","<div><font color=#000000 size=2 face=""Verdana, Helvetica"">Available in White and Natural Kraft with easy to open ends for a unique packaging ideas.<br></font><font color=#000000 size=2 face=""Verdana, Helvetica"">Priced per case.&nbsp;<span style=""FONT-FAMILY: 'Verdana','sans-serif'""><font size=2>Each case quantity&nbsp;is noted.</font></span></font></div>","Pillow Packs",1.15,0,"Taxable Goods","Catalog, Search",8.48,,,,pillow-pack-frosted-54PP2C,"Pillow Pack Gift Boxes, Pillow Paks for Retail Stores","pillow packs gift boxes pillow pak gift box","Pillow Pack gift boxes are available in White and Kraft and sold by the case, order Pillow Paks and more retail store gift boxes and packaging supplies online.",/54PP2C_base.jpg,"Pillow Pack Frosted base image",/54PP2C_base.jpg,"Pillow Pack Frosted small image",/54PP2C_base.jpg,"Pillow Pack Frosted thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
54PP4W,,Default,simple,"Default Category/Boxes & Packaging/Specialized Boxes/Pillow Packs","Pillow Pack 7x5.5x2 White","<div><font color=#000000 size=2 face=""Verdana, Helvetica"">Available in White and Natural Kraft with easy to open ends for a unique packaging ideas.<br></font><font color=#000000 size=2 face=""Verdana, Helvetica"">Priced per case.&nbsp;<span style=""FONT-FAMILY: 'Verdana','sans-serif'""><font size=2>Each case quantity&nbsp;is noted.</font></span></font></div>","Pillow Packs",6.9,1,"Taxable Goods","Catalog, Search",54.69,,,,pillow-pack-7x5.5x2-white-54PP4W,"Pillow Pack Gift Boxes, Pillow Paks for Retail Stores","pillow packs gift boxes pillow pak gift box","Pillow Pack gift boxes are available in White and Kraft and sold by the case, order Pillow Paks and more retail store gift boxes and packaging supplies online.",/54PP4W_base.jpg,"Pillow Pack 7x5.5x2 White base image",/54PP4W_base.jpg,"Pillow Pack 7x5.5x2 White small image",/54PP4W_base.jpg,"Pillow Pack 7x5.5x2 White thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
54PP5C,,Default,simple,"Default Category/No web item","Pillow Pack Frosted 10x8x2 Nat","<div><font color=#000000 size=2 face=""Verdana, Helvetica"">Available in White and Natural Kraft with easy to open ends for a unique packaging ideas.<br></font><font color=#000000 size=2 face=""Verdana, Helvetica"">Priced per case.&nbsp;<span style=""FONT-FAMILY: 'Verdana','sans-serif'""><font size=2>Each case quantity&nbsp;is noted.</font></span></font></div>","Pillow Packs",2.3,0,"Taxable Goods","Catalog, Search",19.34,,,,pillow-pack-frosted-10x8x2-nat-54PP5C,"Pillow Pack Gift Boxes, Pillow Paks for Retail Stores","pillow packs gift boxes pillow pak gift box","Pillow Pack gift boxes are available in White and Kraft and sold by the case, order Pillow Paks and more retail store gift boxes and packaging supplies online.",/54PP5C_base.jpg,"Pillow Pack Frosted 10x8x2 Nat base image",/54PP5C_base.jpg,"Pillow Pack Frosted 10x8x2 Nat small image",/54PP5C_base.jpg,"Pillow Pack Frosted 10x8x2 Nat thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
54PP6NK,,Default,simple,"Default Category/No web item","Pillow Pack 6x5x1.5 Nat Kraft","<div><font color=#000000 size=2 face=""Verdana, Helvetica"">Available in White and Natural Kraft with easy to open ends for a unique packaging ideas.<br></font><font color=#000000 size=2 face=""Verdana, Helvetica"">Priced per case.&nbsp;<span style=""FONT-FAMILY: 'Verdana','sans-serif'""><font size=2>Each case quantity&nbsp;is noted.</font></span></font></div>","Pillow Packs",6.9,0,"Taxable Goods","Catalog, Search",36.46,,,,pillow-pack-6x5x1.5-nat-kraft-54PP6NK,"Pillow Pack Gift Boxes, Pillow Paks for Retail Stores","pillow packs gift boxes pillow pak gift box","Pillow Pack gift boxes are available in White and Kraft and sold by the case, order Pillow Paks and more retail store gift boxes and packaging supplies online.",/54PP6NK_base.jpg,"Pillow Pack 6x5x1.5 Nat Kraft base image",/54PP6NK_base.jpg,"Pillow Pack 6x5x1.5 Nat Kraft small image",/54PP6NK_base.jpg,"Pillow Pack 6x5x1.5 Nat Kraft thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
54PP6W,,Default,simple,"Default Category/No web item","Pillow Pack 6x5x1.5 White","<div><font color=#000000 size=2 face=""Verdana, Helvetica"">Available in White and Natural Kraft with easy to open ends for a unique packaging ideas.<br></font><font color=#000000 size=2 face=""Verdana, Helvetica"">Priced per case.&nbsp;<span style=""FONT-FAMILY: 'Verdana','sans-serif'""><font size=2>Each case quantity&nbsp;is noted.</font></span></font></div>","Pillow Packs",6.9,0,"Taxable Goods","Catalog, Search",36.46,,,,pillow-pack-6x5x1.5-white-54PP6W,"Pillow Pack Gift Boxes, Pillow Paks for Retail Stores","pillow packs gift boxes pillow pak gift box","Pillow Pack gift boxes are available in White and Kraft and sold by the case, order Pillow Paks and more retail store gift boxes and packaging supplies online.",/54PP6W_base.jpg,"Pillow Pack 6x5x1.5 White base image",/54PP6W_base.jpg,"Pillow Pack 6x5x1.5 White small image",/54PP6W_base.jpg,"Pillow Pack 6x5x1.5 White thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
54PP7NK,,Default,simple,"Default Category/No web item","Pillow Pack 9x5x2 Nat Kraft","<div><font color=#000000 size=2 face=""Verdana, Helvetica"">Available in White and Natural Kraft with easy to open ends for a unique packaging ideas.<br></font><font color=#000000 size=2 face=""Verdana, Helvetica"">Priced per case.&nbsp;<span style=""FONT-FAMILY: 'Verdana','sans-serif'""><font size=2>Each case quantity&nbsp;is noted.</font></span></font></div>","Pillow Packs",6.9,0,"Taxable Goods","Catalog, Search",34.69,,,,pillow-pack-9x5x2-nat-kraft-54PP7NK,"Pillow Pack Gift Boxes, Pillow Paks for Retail Stores","pillow packs gift boxes pillow pak gift box","Pillow Pack gift boxes are available in White and Kraft and sold by the case, order Pillow Paks and more retail store gift boxes and packaging supplies online.",/54PP7NK_base.jpg,"Pillow Pack 9x5x2 Nat Kraft base image",/54PP7NK_base.jpg,"Pillow Pack 9x5x2 Nat Kraft small image",/54PP7NK_base.jpg,"Pillow Pack 9x5x2 Nat Kraft thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
54ROS4B,,Default,simple,"Default Category/Boxes & Packaging/Specialized Boxes/E- Flute Decorative Boxes/Gift Tubes","E-Flute Gift Tube 4x6 Black","E-Flute Gift Tube 4x6 Black",,0,1,"Taxable Goods","Catalog, Search",44.4,,,,e-flute-gift-tube-4x6-black-54ROS4B,,,,/54ROS4B_base.jpg,"E-Flute Gift Tube 4x6 Black base image",/54ROS4B_base.jpg,"E-Flute Gift Tube 4x6 Black small image",/54ROS4B_base.jpg,"E-Flute Gift Tube 4x6 Black thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
54ROS4BL,,Default,simple,"Default Category/Boxes & Packaging/Specialized Boxes/E- Flute Decorative Boxes/Gift Tubes","E-Flute Gift Tube 4x6 Blue","E-Flute Gift Tube 4x6 Blue",,0,1,"Taxable Goods","Catalog, Search",44.4,,,,e-flute-gift-tube-4x6-blue-54ROS4BL,,,,/54ROS4BL_base.jpg,"E-Flute Gift Tube 4x6 Blue base image",/54ROS4BL_base.jpg,"E-Flute Gift Tube 4x6 Blue small image",/54ROS4BL_base.jpg,"E-Flute Gift Tube 4x6 Blue thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
