sku,store_view_code,attribute_set_code,product_type,categories,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,created_at,updated_at,new_from_date,new_to_date,map_price,msrp_price,map_enabled,qty,out_of_stock_qty,website_id,product_websites,manage_stock,use_config_manage_stock
560056M,,Default,simple,Default Category/Shopping Bags/Organza & Velvet Bags/Organza Bags/Flat Organza Bags,Bags Organza 5x6.5 Mint,"<div><font color=#000000 size=2 face=""Verdana, Helvetica"">Priced per case with 10 bags per case.</font></div>",Flat Organza Bags,0.034,1,Taxable Goods,"Catalog, Search",3.8,,,,bags-organza-5x6.5-mint-560056M,"Organza Bags, Retail Packaging Supplies, Buy Organza and Velvet Bags Online","organza bags, velvet bags, retail packaging, organza bag","Organza bags for sale online, order organza bags and retail packaging supplies for your retail store online from American Retail Supply.",/560056M_base.jpg,Bags Organza 5x6.5 Mint base image,/560056M_base.jpg,Bags Organza 5x6.5 Mint small image,/560056M_base.jpg,Bags Organza 5x6.5 Mint thumbnail,,,,,,,,1,0,1,base,0,0
560056MV,,Default,simple,Default Category/Shopping Bags/Organza & Velvet Bags/Organza Bags/Flat Organza Bags,Bags Organza 5x6.5 Mauve,"<div><font color=#000000 size=2 face=""Verdana, Helvetica"">Priced per case with 10 bags per case.</font></div>",Flat Organza Bags,0.034,1,Taxable Goods,"Catalog, Search",3.8,,,,bags-organza-5x6.5-mauve-560056MV,"Organza Bags, Retail Packaging Supplies, Buy Organza and Velvet Bags Online","organza bags, velvet bags, retail packaging, organza bag","Organza bags for sale online, order organza bags and retail packaging supplies for your retail store online from American Retail Supply.",/560056MV_base.jpg,Bags Organza 5x6.5 Mauve base image,/560056MV_base.jpg,Bags Organza 5x6.5 Mauve small image,/560056MV_base.jpg,Bags Organza 5x6.5 Mauve thumbnail,,,,,,,,1,0,1,base,0,0
560056N,,Default,simple,Default Category/Shopping Bags/Organza & Velvet Bags/Organza Bags/Flat Organza Bags,Bags Organza 5.x6.5 Navy,"<div><font color=#000000 size=2 face=""Verdana, Helvetica"">Priced per case with 10 bags per case.</font></div>",Flat Organza Bags,0.0345,1,Taxable Goods,"Catalog, Search",3.8,,,,bags-organza-5.x6.5-navy-560056N,"Organza Bags, Retail Packaging Supplies, Buy Organza and Velvet Bags Online","organza bags, velvet bags, retail packaging, organza bag","Organza bags for sale online, order organza bags and retail packaging supplies for your retail store online from American Retail Supply.",/560056N_base.jpg,Bags Organza 5.x6.5 Navy base image,/560056N_base.jpg,Bags Organza 5.x6.5 Navy small image,/560056N_base.jpg,Bags Organza 5.x6.5 Navy thumbnail,,,,,,,,1,0,1,base,0,0
560056O,,Default,simple,Default Category/Shopping Bags/Organza & Velvet Bags/Organza Bags/Flat Organza Bags,Bags Organza 5x6.5 Orange,"<div><font color=#000000 size=2 face=""Verdana, Helvetica"">Priced per case with 10 bags per case.</font></div>",Flat Organza Bags,0.034,1,Taxable Goods,"Catalog, Search",3.8,,,,bags-organza-5x6.5-orange-560056O,"Organza Bags, Retail Packaging Supplies, Buy Organza and Velvet Bags Online","organza bags, velvet bags, retail packaging, organza bag","Organza bags for sale online, order organza bags and retail packaging supplies for your retail store online from American Retail Supply.",/560056O_base.jpg,Bags Organza 5x6.5 Orange base image,/560056O_base.jpg,Bags Organza 5x6.5 Orange small image,/560056O_base.jpg,Bags Organza 5x6.5 Orange thumbnail,,,,,,,,1,0,1,base,0,0
560056P,,Default,simple,Default Category/Shopping Bags/Organza & Velvet Bags/Organza Bags/Flat Organza Bags,Bags Organza 5x6.5 Purple,"<div><font color=#000000 size=2 face=""Verdana, Helvetica"">Priced per case with 10 bags per case.</font></div>",Flat Organza Bags,0.0345,1,Taxable Goods,"Catalog, Search",3.8,,,,bags-organza-5x6.5-purple-560056P,"Organza Bags, Retail Packaging Supplies, Buy Organza and Velvet Bags Online","organza bags, velvet bags, retail packaging, organza bag","Organza bags for sale online, order organza bags and retail packaging supplies for your retail store online from American Retail Supply.",/560056P_base.jpg,Bags Organza 5x6.5 Purple base image,/560056P_base.jpg,Bags Organza 5x6.5 Purple small image,/560056P_base.jpg,Bags Organza 5x6.5 Purple thumbnail,,,,,,,,1,0,1,base,0,0
560056PG,,Default,simple,Default Category/Shopping Bags/Organza & Velvet Bags/Organza Bags/Flat Organza Bags,Bags Organza 5x6.5 Pastel Grn,"<div><font color=#000000 size=2 face=""Verdana, Helvetica"">Priced per case with 10 bags per case.</font></div>",Flat Organza Bags,0.034,1,Taxable Goods,"Catalog, Search",3.8,,,,bags-organza-5x6.5-pastel-grn-560056PG,"Organza Bags, Retail Packaging Supplies, Buy Organza and Velvet Bags Online","organza bags, velvet bags, retail packaging, organza bag","Organza bags for sale online, order organza bags and retail packaging supplies for your retail store online from American Retail Supply.",/560056PG_base.jpg,Bags Organza 5x6.5 Pastel Grn base image,/560056PG_base.jpg,Bags Organza 5x6.5 Pastel Grn small image,/560056PG_base.jpg,Bags Organza 5x6.5 Pastel Grn thumbnail,,,,,,,,1,0,1,base,0,0
560056R,,Default,simple,Default Category/Shopping Bags/Organza & Velvet Bags/Organza Bags/Gusseted Organza Bags,Bags Organza 5x6.5 Red,"<div><font color=#000000 size=2 face=""Verdana, Helvetica"">Priced per case with 10 bags per case.</font></div>",Flat Organza Bags,0.0345,1,Taxable Goods,"Catalog, Search",3.8,,,,bags-organza-5x6.5-red-560056R,"Organza Bags, Retail Packaging Supplies, Buy Organza and Velvet Bags Online","organza bags, velvet bags, retail packaging, organza bag","Organza bags for sale online, order organza bags and retail packaging supplies for your retail store online from American Retail Supply.",/560056R_base.jpg,Bags Organza 5x6.5 Red base image,/560056R_base.jpg,Bags Organza 5x6.5 Red small image,/560056R_base.jpg,Bags Organza 5x6.5 Red thumbnail,,,,,,,,1,0,1,base,0,0
560056RB,,Default,simple,Default Category/Shopping Bags/Organza & Velvet Bags/Organza Bags/Flat Organza Bags,Bags Organza 5x6.5 Royal Blue,"<div><font color=#000000 size=2 face=""Verdana, Helvetica"">Priced per case with 10 bags per case.</font></div>",Flat Organza Bags,0.034,1,Taxable Goods,"Catalog, Search",3.8,,,,bags-organza-5x6.5-royal-blue-560056RB,"Organza Bags, Retail Packaging Supplies, Buy Organza and Velvet Bags Online","organza bags, velvet bags, retail packaging, organza bag","Organza bags for sale online, order organza bags and retail packaging supplies for your retail store online from American Retail Supply.",/560056RB_base.jpg,Bags Organza 5x6.5 Royal Blue base image,/560056RB_base.jpg,Bags Organza 5x6.5 Royal Blue small image,/560056RB_base.jpg,Bags Organza 5x6.5 Royal Blue thumbnail,,,,,,,,1,0,1,base,0,0
560056S,,Default,simple,Default Category/Shopping Bags/Organza & Velvet Bags/Organza Bags/Flat Organza Bags,Bags Organza 5x6.5 Silver,"<div><font color=#000000 size=2 face=""Verdana, Helvetica"">Priced per case with 10 bags per case.</font></div>",Flat Organza Bags,0.0345,1,Taxable Goods,"Catalog, Search",3.8,,,,bags-organza-5x6.5-silver-560056S,"Organza Bags, Retail Packaging Supplies, Buy Organza and Velvet Bags Online","organza bags, velvet bags, retail packaging, organza bag","Organza bags for sale online, order organza bags and retail packaging supplies for your retail store online from American Retail Supply.",/560056S_base.jpg,Bags Organza 5x6.5 Silver base image,/560056S_base.jpg,Bags Organza 5x6.5 Silver small image,/560056S_base.jpg,Bags Organza 5x6.5 Silver thumbnail,,,,,,,,1,0,1,base,0,0
560056SB,,Default,simple,Default Category/Shopping Bags/Organza & Velvet Bags/Organza Bags/Flat Organza Bags,Bags Organza 5x6.5 Smoke Blue,"<div><font color=#000000 size=2 face=""Verdana, Helvetica"">Priced per case with 10 bags per case.</font></div>",Flat Organza Bags,0.034,1,Taxable Goods,"Catalog, Search",3.8,,,,bags-organza-5x6.5-smoke-blue-560056SB,"Organza Bags, Retail Packaging Supplies, Buy Organza and Velvet Bags Online","organza bags, velvet bags, retail packaging, organza bag","Organza bags for sale online, order organza bags and retail packaging supplies for your retail store online from American Retail Supply.",/560056SB_base.jpg,Bags Organza 5x6.5 Smoke Blue base image,/560056SB_base.jpg,Bags Organza 5x6.5 Smoke Blue small image,/560056SB_base.jpg,Bags Organza 5x6.5 Smoke Blue thumbnail,,,,,,,,1,0,1,base,0,0
