sku,store_view_code,attribute_set_code,product_type,categories,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,created_at,updated_at,new_from_date,new_to_date,map_price,msrp_price,map_enabled,qty,out_of_stock_qty,website_id,product_websites,manage_stock,use_config_manage_stock,errors
536543,,Default,simple,"Default Category/No web item","Ribbon Dyna-Satin 7/8""x100yds","<div><font color=#000000 size=2 face=""Verdana, Helvetica"">Dyna Satin Ribbon has an amazing look made with High Quality&nbsp;Acetate that is an inexpensive option that is a step above Floral Acetate, won't fray, tear, or crush. Water and weather resistant. Holds its shape and is color fast. Will not fade over time. You will love its beautiful satin sheen.</font></div>","Dyna Satin Acetate Ribbon",0.506,0,"Taxable Goods","Catalog, Search",13.23,,,,"ribbon-dyna-satin-78""x100yds-536543","Dyna Satin Acetate Ribbon","dyna Satin Acetate Ribbons  gift wrapping supplies gift wrap ribbons acetate ribbon satin gift wrap american retail supply","Shop for Dyna Sain Acetate Ribbons in an assortment of colors that holds its shape as well as other gift wrapping essentials and supplies at americanretailsupply.com",/536543_base.jpg,"Ribbon Dyna-Satin 7/8""x100yds base image",/536543_base.jpg,"Ribbon Dyna-Satin 7/8""x100yds small image",/536543_base.jpg,"Ribbon Dyna-Satin 7/8""x100yds thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
536550,,Default,simple,"Default Category/No web item","Ribbon Dyna-Satin 7/8""x100yds","<div><font color=#000000 size=2 face=""Verdana, Helvetica"">Dyna Satin Ribbon has an amazing look made with High Quality&nbsp;Acetate that is an inexpensive option that is a step above Floral Acetate, won't fray, tear, or crush. Water and weather resistant. Holds its shape and is color fast. Will not fade over time. You will love its beautiful satin sheen.</font></div>","Dyna Satin Acetate Ribbon",0.506,0,"Taxable Goods","Catalog, Search",13.23,,,,"ribbon-dyna-satin-78""x100yds-536550","Dyna Satin Acetate Ribbon","dyna Satin Acetate Ribbons  gift wrapping supplies gift wrap ribbons acetate ribbon satin gift wrap american retail supply","Shop for Dyna Sain Acetate Ribbons in an assortment of colors that holds its shape as well as other gift wrapping essentials and supplies at americanretailsupply.com",/536550_base.jpg,"Ribbon Dyna-Satin 7/8""x100yds base image",/536550_base.jpg,"Ribbon Dyna-Satin 7/8""x100yds small image",/536550_base.jpg,"Ribbon Dyna-Satin 7/8""x100yds thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
536559,,Default,simple,"Default Category/No web item","Ribbon Dyna-Satin 7/8""x100y","Ribbon Dyna-Satin 7/8""x100y",,0,0,"Taxable Goods","Catalog, Search",13.23,,,,"ribbon-dyna-satin-78""x100y-536559",,,,/536559_base.jpg,"Ribbon Dyna-Satin 7/8""x100y base image",/536559_base.jpg,"Ribbon Dyna-Satin 7/8""x100y small image",/536559_base.jpg,"Ribbon Dyna-Satin 7/8""x100y thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
536562,,Default,simple,"Default Category/No web item","Ribbon Dyna-Satin 7/8""x100yds","<div><font color=#000000 size=2 face=""Verdana, Helvetica"">Dyna Satin Ribbon has an amazing look made with High Quality&nbsp;Acetate that is an inexpensive option that is a step above Floral Acetate, won't fray, tear, or crush. Water and weather resistant. Holds its shape and is color fast. Will not fade over time. You will love its beautiful satin sheen.</font></div>","Dyna Satin Acetate Ribbon",0.506,0,"Taxable Goods","Catalog, Search",13.23,,,,"ribbon-dyna-satin-78""x100yds-536562","Dyna Satin Acetate Ribbon","dyna Satin Acetate Ribbons  gift wrapping supplies gift wrap ribbons acetate ribbon satin gift wrap american retail supply","Shop for Dyna Sain Acetate Ribbons in an assortment of colors that holds its shape as well as other gift wrapping essentials and supplies at americanretailsupply.com",/536562_base.jpg,"Ribbon Dyna-Satin 7/8""x100yds base image",/536562_base.jpg,"Ribbon Dyna-Satin 7/8""x100yds small image",/536562_base.jpg,"Ribbon Dyna-Satin 7/8""x100yds thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
536564,,Default,simple,"Default Category/No web item","Ribbon Dyna-Satin 7/8""x100yds","<div><font color=#000000 size=2 face=""Verdana, Helvetica"">Dyna Satin Ribbon has an amazing look made with High Quality&nbsp;Acetate that is an inexpensive option that is a step above Floral Acetate, won't fray, tear, or crush. Water and weather resistant. Holds its shape and is color fast. Will not fade over time. You will love its beautiful satin sheen.</font></div>","Dyna Satin Acetate Ribbon",0.506,0,"Taxable Goods","Catalog, Search",13.23,,,,"ribbon-dyna-satin-78""x100yds-536564","Dyna Satin Acetate Ribbon","dyna Satin Acetate Ribbons  gift wrapping supplies gift wrap ribbons acetate ribbon satin gift wrap american retail supply","Shop for Dyna Sain Acetate Ribbons in an assortment of colors that holds its shape as well as other gift wrapping essentials and supplies at americanretailsupply.com",/536564_base.jpg,"Ribbon Dyna-Satin 7/8""x100yds base image",/536564_base.jpg,"Ribbon Dyna-Satin 7/8""x100yds small image",/536564_base.jpg,"Ribbon Dyna-Satin 7/8""x100yds thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
536575,,Default,simple,"Default Category/No web item","Ribbon Dyna-Satin 7/8""x100yds","<div><font color=#000000 size=2 face=""Verdana, Helvetica"">Dyna Satin Ribbon has an amazing look made with High Quality&nbsp;Acetate that is an inexpensive option that is a step above Floral Acetate, won't fray, tear, or crush. Water and weather resistant. Holds its shape and is color fast. Will not fade over time. You will love its beautiful satin sheen.</font></div>","Dyna Satin Acetate Ribbon",0.506,0,"Taxable Goods","Catalog, Search",13.23,,,,"ribbon-dyna-satin-78""x100yds-536575","Dyna Satin Acetate Ribbon","dyna Satin Acetate Ribbons  gift wrapping supplies gift wrap ribbons acetate ribbon satin gift wrap american retail supply","Shop for Dyna Sain Acetate Ribbons in an assortment of colors that holds its shape as well as other gift wrapping essentials and supplies at americanretailsupply.com",/536575_base.jpg,"Ribbon Dyna-Satin 7/8""x100yds base image",/536575_base.jpg,"Ribbon Dyna-Satin 7/8""x100yds small image",/536575_base.jpg,"Ribbon Dyna-Satin 7/8""x100yds thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
536579,,Default,simple,"Default Category/No web item","Ribbon Dyna-Satin 7/8""x100yds","<div><font color=#000000 size=2 face=""Verdana, Helvetica"">Dyna Satin Ribbon has an amazing look made with High Quality&nbsp;Acetate that is an inexpensive option that is a step above Floral Acetate, won't fray, tear, or crush. Water and weather resistant. Holds its shape and is color fast. Will not fade over time. You will love its beautiful satin sheen.</font></div>","Dyna Satin Acetate Ribbon",0.506,0,"Taxable Goods","Catalog, Search",13.23,,,,"ribbon-dyna-satin-78""x100yds-536579","Dyna Satin Acetate Ribbon","dyna Satin Acetate Ribbons  gift wrapping supplies gift wrap ribbons acetate ribbon satin gift wrap american retail supply","Shop for Dyna Sain Acetate Ribbons in an assortment of colors that holds its shape as well as other gift wrapping essentials and supplies at americanretailsupply.com",/536579_base.jpg,"Ribbon Dyna-Satin 7/8""x100yds base image",/536579_base.jpg,"Ribbon Dyna-Satin 7/8""x100yds small image",/536579_base.jpg,"Ribbon Dyna-Satin 7/8""x100yds thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
536585,,Default,simple,"Default Category/No web item","Ribbon Dyna-Satin 7/8""x100yds","<div><font color=#000000 size=2 face=""Verdana, Helvetica"">Dyna Satin Ribbon has an amazing look made with High Quality&nbsp;Acetate that is an inexpensive option that is a step above Floral Acetate, won't fray, tear, or crush. Water and weather resistant. Holds its shape and is color fast. Will not fade over time. You will love its beautiful satin sheen.</font></div>","Dyna Satin Acetate Ribbon",0.506,0,"Taxable Goods","Catalog, Search",13.23,,,,"ribbon-dyna-satin-78""x100yds-536585","Dyna Satin Acetate Ribbon","dyna Satin Acetate Ribbons  gift wrapping supplies gift wrap ribbons acetate ribbon satin gift wrap american retail supply","Shop for Dyna Sain Acetate Ribbons in an assortment of colors that holds its shape as well as other gift wrapping essentials and supplies at americanretailsupply.com",/536585_base.jpg,"Ribbon Dyna-Satin 7/8""x100yds base image",/536585_base.jpg,"Ribbon Dyna-Satin 7/8""x100yds small image",/536585_base.jpg,"Ribbon Dyna-Satin 7/8""x100yds thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
536586,,Default,simple,"Default Category/No web item","Ribbon Dyna-Satin 7/8""x100yds","<div><font color=#000000 size=2 face=""Verdana, Helvetica"">Dyna Satin Ribbon has an amazing look made with High Quality&nbsp;Acetate that is an inexpensive option that is a step above Floral Acetate, won't fray, tear, or crush. Water and weather resistant. Holds its shape and is color fast. Will not fade over time. You will love its beautiful satin sheen.</font></div>","Dyna Satin Acetate Ribbon",0.506,0,"Taxable Goods","Catalog, Search",13.23,,,,"ribbon-dyna-satin-78""x100yds-536586","Dyna Satin Acetate Ribbon","dyna Satin Acetate Ribbons  gift wrapping supplies gift wrap ribbons acetate ribbon satin gift wrap american retail supply","Shop for Dyna Sain Acetate Ribbons in an assortment of colors that holds its shape as well as other gift wrapping essentials and supplies at americanretailsupply.com",/536586_base.jpg,"Ribbon Dyna-Satin 7/8""x100yds base image",/536586_base.jpg,"Ribbon Dyna-Satin 7/8""x100yds small image",/536586_base.jpg,"Ribbon Dyna-Satin 7/8""x100yds thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
5365916,,Default,simple,"Default Category/No web item","Ribbon Dyna-Satin 7/8""x100yds","Ribbon Dyna-Satin 7/8""x100yds",,0,0,"Taxable Goods","Catalog, Search",13.23,,,,"ribbon-dyna-satin-78""x100yds-5365916",,,,/5365916_base.jpg,"Ribbon Dyna-Satin 7/8""x100yds base image",/5365916_base.jpg,"Ribbon Dyna-Satin 7/8""x100yds small image",/5365916_base.jpg,"Ribbon Dyna-Satin 7/8""x100yds thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
