sku,store_view_code,attribute_set_code,product_type,categories,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,created_at,updated_at,new_from_date,new_to_date,map_price,msrp_price,map_enabled,qty,out_of_stock_qty,website_id,product_websites,manage_stock,use_config_manage_stock,errors
5T224240,,Default,simple,"Default Category/Tissue & Gift Wrap/Holiday Prints","Tissue 20x30 Gold Stars on","<div>
<div><font color=#000000 size=2 face=""Verdana, Helvetica""><font size=2>Gold, Silver, and Copper inks are used to create Precious Metal Patterned Printed Tissue Paper.&nbsp; Give a quality image to your in store packaging with these precious metals solids and patterns. Each package contain the following sheet quantities: Items that end in A = 240 sheets/pack.&nbsp; Items that end in B = 200 sheets/pack.&nbsp; There are four packages per case.&nbsp; The sheets measure 20"" x 30"".&nbsp; Click on an image to enlarge. 
<p></p></font></font></div></div>","Precious Metal Patterns Printed Tissue Paper",4.485,1,"Taxable Goods","Catalog, Search",50.78,,,,tissue-20x30-gold-stars-on-5T224240,"Printed Tissue Paper, Precious Metals Tissue Paper","printed tissue paper","Precious metals printed tissue paper is perfect for retail store gift wrapping and displays, order printed tissue paper and retail supplies online.",/5T224240_base.jpg,"Tissue 20x30 Gold Stars on base image",/5T224240_base.jpg,"Tissue 20x30 Gold Stars on small image",/5T224240_base.jpg,"Tissue 20x30 Gold Stars on thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
5T331300,,Default,simple,"Default Category/Tissue & Gift Wrap/Everyday Prints","Tissue 20x30 Cabana Stripes ""B","Tissue 20x30 Cabana Stripes ""B",,0,1,"Taxable Goods","Catalog, Search",54.91,,,,"tissue-20x30-cabana-stripes-""b-5T331300",,,,/5T331300_base.jpg,"Tissue 20x30 Cabana Stripes ""B base image",/5T331300_base.jpg,"Tissue 20x30 Cabana Stripes ""B small image",/5T331300_base.jpg,"Tissue 20x30 Cabana Stripes ""B thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
5T404496,,Default,simple,"Default Category/Tissue & Gift Wrap/Place Holder","Tissue 20 x 30 Black/Kraft Dot","Tissue 20 x 30 Black/Kraft Dot",,0,1,"Taxable Goods","Catalog, Search",54.91,,,,tissue-20-x-30-blackkraft-dot-5T404496,,,,/5T404496_base.jpg,"Tissue 20 x 30 Black/Kraft Dot base image",/5T404496_base.jpg,"Tissue 20 x 30 Black/Kraft Dot small image",/5T404496_base.jpg,"Tissue 20 x 30 Black/Kraft Dot thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
5T495,,Default,simple,"Default Category/Tissue & Gift Wrap/Place Holder","Tissue 20 x 30 Ink Spots","Tissue 20 x 30 Ink Spots",,0,1,"Taxable Goods","Catalog, Search",54.91,,,,tissue-20-x-30-ink-spots-5T495,,,,/5T495_base.jpg,"Tissue 20 x 30 Ink Spots base image",/5T495_base.jpg,"Tissue 20 x 30 Ink Spots small image",/5T495_base.jpg,"Tissue 20 x 30 Ink Spots thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
5T50015,,Default,simple,"Default Category/Boxes & Packaging/Place Holder","Cord El Shiny Met Elastic 500","Cord El Shiny Met Elastic 500",,0,1,"Taxable Goods","Catalog, Search",48.7,,,,cord-el-shiny-met-elastic-500-5T50015,,,,/5T50015_base.jpg,"Cord El Shiny Met Elastic 500 base image",/5T50015_base.jpg,"Cord El Shiny Met Elastic 500 small image",/5T50015_base.jpg,"Cord El Shiny Met Elastic 500 thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
5T760A,,Default,simple,"Default Category/Tissue & Gift Wrap/Place Holder","Tissue 20x30 Blue Bandana","Tissue 20x30 Blue Bandana",,0,1,"Taxable Goods","Catalog, Search",32,,,,tissue-20x30-blue-bandana-5T760A,,,,/5T760A_base.jpg,"Tissue 20x30 Blue Bandana base image",/5T760A_base.jpg,"Tissue 20x30 Blue Bandana small image",/5T760A_base.jpg,"Tissue 20x30 Blue Bandana thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
5T760B,,Default,simple,"Default Category/Tissue & Gift Wrap/Everyday Prints","Tissue 20x30 Red Bandana","<div><font color=#000000 size=2 face=""Verdana, Helvetica"">Our newly expanded line of tissue offers an array of colors in both Western and English Styles. Some of the actual designs may vary in size and color. </font><font color=#000000 size=2 face=Verdana><font color=#000000 size=2 face=""Verdana, Helvetica""><font size=2>Be sure to check our coordinating western themed&nbsp;<a href=""http://arsv2.eporiaservices.com/65070/178194/Paper-Shopping-Bags-V2/Western-Patterned-Paper-Shopping-Bags.html""><font color=#0000ff>paper shopping bags</font></a>&nbsp;and <a href=""http://arsv2.eporiaservices.com/64722/Western-Themed-GiftWrap-V2.html""><font color=#0000ff>gift wrap</font></a>!<br>Order Printed Tissue by the&nbsp;package.&nbsp;Package sizes are 200&nbsp;sheets. </font><font face=Verdana><font size=2>Sheets are 20"" x 30"".</font></font></font></font></div>
<div><font size=2 face=Verdana></font>&nbsp;</div>","Western Printed Tissue Paper",5.0485,1,"Taxable Goods","Catalog, Search",32,,,,tissue-20x30-red-bandana-5T760B,"Tissue Paper | Western Theme & English Style Printed Tissue Paper","tissue paper printed tissue paper western english theme","Tissue paper and retail packaging supplies for sale online, buy western theme and English style printed tissue paper for your store at American Retail Supply.",/5T760B_base.jpg,"Tissue 20x30 Red Bandana base image",/5T760B_base.jpg,"Tissue 20x30 Red Bandana small image",/5T760B_base.jpg,"Tissue 20x30 Red Bandana thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
5T851100,,Default,simple,"Default Category/Tissue & Gift Wrap/Holiday Prints","Tissue 20 x 30 Holly on Gold","Tissue 20 x 30 Holly on Gold",,0,1,"Taxable Goods","Catalog, Search",54.91,,,,tissue-20-x-30-holly-on-gold-5T851100,,,,/5T851100_base.jpg,"Tissue 20 x 30 Holly on Gold base image",/5T851100_base.jpg,"Tissue 20 x 30 Holly on Gold small image",/5T851100_base.jpg,"Tissue 20 x 30 Holly on Gold thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
5T910A,,Default,simple,"Default Category/Tissue & Gift Wrap/Place Holder","Tissue 20x30 Little Hearts Red","Tissue 20x30 Little Hearts Red",,0,1,"Taxable Goods","Catalog, Search",50.78,,,,tissue-20x30-little-hearts-red-5T910A,,,,/5T910A_base.jpg,"Tissue 20x30 Little Hearts Red base image",/5T910A_base.jpg,"Tissue 20x30 Little Hearts Red small image",/5T910A_base.jpg,"Tissue 20x30 Little Hearts Red thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
5TBARREL,,Default,simple,"Default Category/Tissue & Gift Wrap/Place Holder","Tissue 20x30 Barrel Racer","Tissue 20x30 Barrel Racer",,0,1,"Taxable Goods","Catalog, Search",32,,,,tissue-20x30-barrel-racer-5TBARREL,,,,/5TBARREL_base.jpg,"Tissue 20x30 Barrel Racer base image",/5TBARREL_base.jpg,"Tissue 20x30 Barrel Racer small image",/5TBARREL_base.jpg,"Tissue 20x30 Barrel Racer thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
