sku,store_view_code,attribute_set_code,product_type,categories,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,created_at,updated_at,new_from_date,new_to_date,map_price,msrp_price,map_enabled,qty,out_of_stock_qty,website_id,product_websites,manage_stock,use_config_manage_stock,errors
5CC6044,,Default,simple,"Default Category/Boxes & Packaging/Bows & Ribbon/Ribbon/Natural Curling Ribbon","Ribbon 3/8 x 100 yds Copen","<font color=#000000 size=2 face=""Verdana, Helvetica"">Solid Natural Curling Ribbon. Really a great selection of solid colors, all natural, biodegradable curling ribbons. Meets FDA requirements, lays flat, shreds, curls, won't stretch. This ribbon is available in stock colors.<br></font><font color=#000000 size=2 face=""Verdana, Helvetica""><font color=#000000 size=2 face=""Verdana, Helvetica""><font size=2><span style=""FONT-FAMILY: Verdana""><font size=1><font size=2><font color=#000000>Order&nbsp;curling ribbon by the roll.<br><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Roll&nbsp;sizes are indicated below.</span>&nbsp;<br></font><font size=2><font color=#ff0000><font size=2><font color=#000000>&nbsp;&nbsp;&nbsp;&nbsp;5 Roll minimum on all Natural Curling Ribbon - you may mix and match colors and patterns to reach this minimum.&nbsp; </font></font></font></font></font></font></span></font></font></font>","Solid Natural Curling Ribbon",0.552,1,"Taxable Goods","Catalog, Search",87,,,,ribbon-38-x-100-yds-copen-5CC6044,"Solid Natural Curling Ribbon - Retail Store Gift Wrapping Supplies","solid natural curling ribbon gift  wrapping bulk ribbon retail supplies packaging custom","Curling Ribbon and gift wrap supplies including solid natural curling ribbon for sale online, order gift wrap and tissue for all of your retail store needs.",/5CC6044_base.jpg,"Ribbon 3/8 x 100 yds Copen base image",/5CC6044_base.jpg,"Ribbon 3/8 x 100 yds Copen small image",/5CC6044_base.jpg,"Ribbon 3/8 x 100 yds Copen thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
5CC6046,,Default,simple,"Default Category/Boxes & Packaging/Place Holder","Ribbon 3/8x100 yds Dk. Blue w/","<font color=#000000 size=2 face=""Verdana, Helvetica"">Solid Natural Curling Ribbon. Really a great selection of solid colors, all natural, biodegradable curling ribbons. Meets FDA requirements, lays flat, shreds, curls, won't stretch. This ribbon is available in stock colors.<br></font><font color=#000000 size=2 face=""Verdana, Helvetica""><font color=#000000 size=2 face=""Verdana, Helvetica""><font size=2><span style=""FONT-FAMILY: Verdana""><font size=1><font size=2><font color=#000000>Order&nbsp;curling ribbon by the roll.<br><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Roll&nbsp;sizes are indicated below.</span>&nbsp;<br></font><font size=2><font color=#ff0000><font size=2><font color=#000000>&nbsp;&nbsp;&nbsp;&nbsp;5 Roll minimum on all Natural Curling Ribbon - you may mix and match colors and patterns to reach this minimum.&nbsp; </font></font></font></font></font></font></span></font></font></font>","Solid Natural Curling Ribbon",0.552,1,"Taxable Goods","Catalog, Search",87,,,,ribbon-38x100-yds-dk.-blue-w-5CC6046,"Solid Natural Curling Ribbon - Retail Store Gift Wrapping Supplies","solid natural curling ribbon gift  wrapping bulk ribbon retail supplies packaging custom","Curling Ribbon and gift wrap supplies including solid natural curling ribbon for sale online, order gift wrap and tissue for all of your retail store needs.",/5CC6046_base.jpg,"Ribbon 3/8x100 yds Dk. Blue w/ base image",/5CC6046_base.jpg,"Ribbon 3/8x100 yds Dk. Blue w/ small image",/5CC6046_base.jpg,"Ribbon 3/8x100 yds Dk. Blue w/ thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
5CC9002,,Default,simple,"Default Category/Boxes & Packaging/Place Holder","Ribbon 5/8 x 100 yds Crimped","<font color=#000000 size=2 face=""Verdana, Helvetica"">Solid Natural Curling Ribbon. Really a great selection of solid colors, all natural, biodegradable curling ribbons. Meets FDA requirements, lays flat, shreds, curls, won't stretch. This ribbon is available in stock colors.<br></font><font color=#000000 size=2 face=""Verdana, Helvetica""><font color=#000000 size=2 face=""Verdana, Helvetica""><font size=2><span style=""FONT-FAMILY: Verdana""><font size=1><font size=2><font color=#000000>Order&nbsp;curling ribbon by the roll.<br><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Roll&nbsp;sizes are indicated below.</span>&nbsp;<br></font><font size=2><font color=#ff0000><font size=2><font color=#000000>&nbsp;&nbsp;&nbsp;&nbsp;5 Roll minimum on all Natural Curling Ribbon - you may mix and match colors and patterns to reach this minimum.&nbsp; </font></font></font></font></font></font></span></font></font></font>","Solid Natural Curling Ribbon",0.69,1,"Taxable Goods","Catalog, Search",132.15,,,,ribbon-58-x-100-yds-crimped-5CC9002,"Solid Natural Curling Ribbon - Retail Store Gift Wrapping Supplies","solid natural curling ribbon gift  wrapping bulk ribbon retail supplies packaging custom","Curling Ribbon and gift wrap supplies including solid natural curling ribbon for sale online, order gift wrap and tissue for all of your retail store needs.",/5CC9002_base.jpg,"Ribbon 5/8 x 100 yds Crimped base image",/5CC9002_base.jpg,"Ribbon 5/8 x 100 yds Crimped small image",/5CC9002_base.jpg,"Ribbon 5/8 x 100 yds Crimped thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
5CC9004,,Default,simple,"Default Category/Boxes & Packaging/Place Holder","Ribbon 5/8 x 100 yds Crimped","<font color=#000000 size=2 face=""Verdana, Helvetica"">Solid Natural Curling Ribbon. Really a great selection of solid colors, all natural, biodegradable curling ribbons. Meets FDA requirements, lays flat, shreds, curls, won't stretch. This ribbon is available in stock colors.<br></font><font color=#000000 size=2 face=""Verdana, Helvetica""><font color=#000000 size=2 face=""Verdana, Helvetica""><font size=2><span style=""FONT-FAMILY: Verdana""><font size=1><font size=2><font color=#000000>Order&nbsp;curling ribbon by the roll.<br><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Roll&nbsp;sizes are indicated below.</span>&nbsp;<br></font><font size=2><font color=#ff0000><font size=2><font color=#000000>&nbsp;&nbsp;&nbsp;&nbsp;5 Roll minimum on all Natural Curling Ribbon - you may mix and match colors and patterns to reach this minimum.&nbsp; </font></font></font></font></font></font></span></font></font></font>","Solid Natural Curling Ribbon",0.69,1,"Taxable Goods","Catalog, Search",132.15,,,,ribbon-58-x-100-yds-crimped-5CC9004,"Solid Natural Curling Ribbon - Retail Store Gift Wrapping Supplies","solid natural curling ribbon gift  wrapping bulk ribbon retail supplies packaging custom","Curling Ribbon and gift wrap supplies including solid natural curling ribbon for sale online, order gift wrap and tissue for all of your retail store needs.",/5CC9004_base.jpg,"Ribbon 5/8 x 100 yds Crimped base image",/5CC9004_base.jpg,"Ribbon 5/8 x 100 yds Crimped small image",/5CC9004_base.jpg,"Ribbon 5/8 x 100 yds Crimped thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
5CC9008,,Default,simple,"Default Category/Boxes & Packaging/Bows & Ribbon/Ribbon/Natural Curling Ribbon","Ribbon 5/8 x 100 yds Crimped","<font color=#000000 size=2 face=""Verdana, Helvetica"">Solid Natural Curling Ribbon. Really a great selection of solid colors, all natural, biodegradable curling ribbons. Meets FDA requirements, lays flat, shreds, curls, won't stretch. This ribbon is available in stock colors.<br></font><font color=#000000 size=2 face=""Verdana, Helvetica""><font color=#000000 size=2 face=""Verdana, Helvetica""><font size=2><span style=""FONT-FAMILY: Verdana""><font size=1><font size=2><font color=#000000>Order&nbsp;curling ribbon by the roll.<br><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Roll&nbsp;sizes are indicated below.</span>&nbsp;<br></font><font size=2><font color=#ff0000><font size=2><font color=#000000>&nbsp;&nbsp;&nbsp;&nbsp;5 Roll minimum on all Natural Curling Ribbon - you may mix and match colors and patterns to reach this minimum.&nbsp; </font></font></font></font></font></font></span></font></font></font>","Solid Natural Curling Ribbon",0.69,1,"Taxable Goods","Catalog, Search",132.15,,,,ribbon-58-x-100-yds-crimped-5CC9008,"Solid Natural Curling Ribbon - Retail Store Gift Wrapping Supplies","solid natural curling ribbon gift  wrapping bulk ribbon retail supplies packaging custom","Curling Ribbon and gift wrap supplies including solid natural curling ribbon for sale online, order gift wrap and tissue for all of your retail store needs.",/5CC9008_base.jpg,"Ribbon 5/8 x 100 yds Crimped base image",/5CC9008_base.jpg,"Ribbon 5/8 x 100 yds Crimped small image",/5CC9008_base.jpg,"Ribbon 5/8 x 100 yds Crimped thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
5CC9010,,Default,simple,"Default Category/Boxes & Packaging/Place Holder","Ribbon 5/8 x 100 yds Crimped","<font color=#000000 size=2 face=""Verdana, Helvetica"">Solid Natural Curling Ribbon. Really a great selection of solid colors, all natural, biodegradable curling ribbons. Meets FDA requirements, lays flat, shreds, curls, won't stretch. This ribbon is available in stock colors.<br></font><font color=#000000 size=2 face=""Verdana, Helvetica""><font color=#000000 size=2 face=""Verdana, Helvetica""><font size=2><span style=""FONT-FAMILY: Verdana""><font size=1><font size=2><font color=#000000>Order&nbsp;curling ribbon by the roll.<br><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Roll&nbsp;sizes are indicated below.</span>&nbsp;<br></font><font size=2><font color=#ff0000><font size=2><font color=#000000>&nbsp;&nbsp;&nbsp;&nbsp;5 Roll minimum on all Natural Curling Ribbon - you may mix and match colors and patterns to reach this minimum.&nbsp; </font></font></font></font></font></font></span></font></font></font>","Solid Natural Curling Ribbon",0.69,1,"Taxable Goods","Catalog, Search",132.15,,,,ribbon-58-x-100-yds-crimped-5CC9010,"Solid Natural Curling Ribbon - Retail Store Gift Wrapping Supplies","solid natural curling ribbon gift  wrapping bulk ribbon retail supplies packaging custom","Curling Ribbon and gift wrap supplies including solid natural curling ribbon for sale online, order gift wrap and tissue for all of your retail store needs.",/5CC9010_base.jpg,"Ribbon 5/8 x 100 yds Crimped base image",/5CC9010_base.jpg,"Ribbon 5/8 x 100 yds Crimped small image",/5CC9010_base.jpg,"Ribbon 5/8 x 100 yds Crimped thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
5CC9014,,Default,simple,"Default Category/Boxes & Packaging/Place Holder","Ribbon 5/8 x 100 yds Crimped","<font color=#000000 size=2 face=""Verdana, Helvetica"">Solid Natural Curling Ribbon. Really a great selection of solid colors, all natural, biodegradable curling ribbons. Meets FDA requirements, lays flat, shreds, curls, won't stretch. This ribbon is available in stock colors.<br></font><font color=#000000 size=2 face=""Verdana, Helvetica""><font color=#000000 size=2 face=""Verdana, Helvetica""><font size=2><span style=""FONT-FAMILY: Verdana""><font size=1><font size=2><font color=#000000>Order&nbsp;curling ribbon by the roll.<br><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Roll&nbsp;sizes are indicated below.</span>&nbsp;<br></font><font size=2><font color=#ff0000><font size=2><font color=#000000>&nbsp;&nbsp;&nbsp;&nbsp;5 Roll minimum on all Natural Curling Ribbon - you may mix and match colors and patterns to reach this minimum.&nbsp; </font></font></font></font></font></font></span></font></font></font>","Solid Natural Curling Ribbon",0.69,1,"Taxable Goods","Catalog, Search",132.15,,,,ribbon-58-x-100-yds-crimped-5CC9014,"Solid Natural Curling Ribbon - Retail Store Gift Wrapping Supplies","solid natural curling ribbon gift  wrapping bulk ribbon retail supplies packaging custom","Curling Ribbon and gift wrap supplies including solid natural curling ribbon for sale online, order gift wrap and tissue for all of your retail store needs.",/5CC9014_base.jpg,"Ribbon 5/8 x 100 yds Crimped base image",/5CC9014_base.jpg,"Ribbon 5/8 x 100 yds Crimped small image",/5CC9014_base.jpg,"Ribbon 5/8 x 100 yds Crimped thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
5CC9016,,Default,simple,"Default Category/Boxes & Packaging/Bows & Ribbon/Ribbon/Natural Curling Ribbon","Ribbon 5/8 x 100 yds Crimped","<font color=#000000 size=2 face=""Verdana, Helvetica"">Solid Natural Curling Ribbon. Really a great selection of solid colors, all natural, biodegradable curling ribbons. Meets FDA requirements, lays flat, shreds, curls, won't stretch. This ribbon is available in stock colors.<br></font><font color=#000000 size=2 face=""Verdana, Helvetica""><font color=#000000 size=2 face=""Verdana, Helvetica""><font size=2><span style=""FONT-FAMILY: Verdana""><font size=1><font size=2><font color=#000000>Order&nbsp;curling ribbon by the roll.<br><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Roll&nbsp;sizes are indicated below.</span>&nbsp;<br></font><font size=2><font color=#ff0000><font size=2><font color=#000000>&nbsp;&nbsp;&nbsp;&nbsp;5 Roll minimum on all Natural Curling Ribbon - you may mix and match colors and patterns to reach this minimum.&nbsp; </font></font></font></font></font></font></span></font></font></font>","Solid Natural Curling Ribbon",0.69,1,"Taxable Goods","Catalog, Search",132.15,,,,ribbon-58-x-100-yds-crimped-5CC9016,"Solid Natural Curling Ribbon - Retail Store Gift Wrapping Supplies","solid natural curling ribbon gift  wrapping bulk ribbon retail supplies packaging custom","Curling Ribbon and gift wrap supplies including solid natural curling ribbon for sale online, order gift wrap and tissue for all of your retail store needs.",/5CC9016_base.jpg,"Ribbon 5/8 x 100 yds Crimped base image",/5CC9016_base.jpg,"Ribbon 5/8 x 100 yds Crimped small image",/5CC9016_base.jpg,"Ribbon 5/8 x 100 yds Crimped thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
5CC9024,,Default,simple,"Default Category/Boxes & Packaging/Place Holder","Ribbon 5/8 x 100 yds Crimped","<font color=#000000 size=2 face=""Verdana, Helvetica"">Solid Natural Curling Ribbon. Really a great selection of solid colors, all natural, biodegradable curling ribbons. Meets FDA requirements, lays flat, shreds, curls, won't stretch. This ribbon is available in stock colors.<br></font><font color=#000000 size=2 face=""Verdana, Helvetica""><font color=#000000 size=2 face=""Verdana, Helvetica""><font size=2><span style=""FONT-FAMILY: Verdana""><font size=1><font size=2><font color=#000000>Order&nbsp;curling ribbon by the roll.<br><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Roll&nbsp;sizes are indicated below.</span>&nbsp;<br></font><font size=2><font color=#ff0000><font size=2><font color=#000000>&nbsp;&nbsp;&nbsp;&nbsp;5 Roll minimum on all Natural Curling Ribbon - you may mix and match colors and patterns to reach this minimum.&nbsp; </font></font></font></font></font></font></span></font></font></font>","Solid Natural Curling Ribbon",0.69,1,"Taxable Goods","Catalog, Search",132.15,,,,ribbon-58-x-100-yds-crimped-5CC9024,"Solid Natural Curling Ribbon - Retail Store Gift Wrapping Supplies","solid natural curling ribbon gift  wrapping bulk ribbon retail supplies packaging custom","Curling Ribbon and gift wrap supplies including solid natural curling ribbon for sale online, order gift wrap and tissue for all of your retail store needs.",/5CC9024_base.jpg,"Ribbon 5/8 x 100 yds Crimped base image",/5CC9024_base.jpg,"Ribbon 5/8 x 100 yds Crimped small image",/5CC9024_base.jpg,"Ribbon 5/8 x 100 yds Crimped thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
5CC9030,,Default,simple,"Default Category/Boxes & Packaging/Place Holder","Ribbon 5/8 x 100 yds Crimped","<font color=#000000 size=2 face=""Verdana, Helvetica"">Solid Natural Curling Ribbon. Really a great selection of solid colors, all natural, biodegradable curling ribbons. Meets FDA requirements, lays flat, shreds, curls, won't stretch. This ribbon is available in stock colors.<br></font><font color=#000000 size=2 face=""Verdana, Helvetica""><font color=#000000 size=2 face=""Verdana, Helvetica""><font size=2><span style=""FONT-FAMILY: Verdana""><font size=1><font size=2><font color=#000000>Order&nbsp;curling ribbon by the roll.<br><span style=""FONT-FAMILY: 'Verdana','sans-serif'"">Roll&nbsp;sizes are indicated below.</span>&nbsp;<br></font><font size=2><font color=#ff0000><font size=2><font color=#000000>&nbsp;&nbsp;&nbsp;&nbsp;5 Roll minimum on all Natural Curling Ribbon - you may mix and match colors and patterns to reach this minimum.&nbsp; </font></font></font></font></font></font></span></font></font></font>","Solid Natural Curling Ribbon",0.69,1,"Taxable Goods","Catalog, Search",132.15,,,,ribbon-58-x-100-yds-crimped-5CC9030,"Solid Natural Curling Ribbon - Retail Store Gift Wrapping Supplies","solid natural curling ribbon gift  wrapping bulk ribbon retail supplies packaging custom","Curling Ribbon and gift wrap supplies including solid natural curling ribbon for sale online, order gift wrap and tissue for all of your retail store needs.",/5CC9030_base.jpg,"Ribbon 5/8 x 100 yds Crimped base image",/5CC9030_base.jpg,"Ribbon 5/8 x 100 yds Crimped small image",/5CC9030_base.jpg,"Ribbon 5/8 x 100 yds Crimped thumbnail",,,,,,,,1,0,1,base,0,0,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
